Listado de máquinas  excluídas CTT BAIRES A CF (I9801) CTT INTERIOR CF (I9803), Telefonogramas (I1492-I6900) y OPT (I0011-I0110);Region;provincia;Funcion equipo en STS;Server;Clie;Imp;Total de PC;Total de Impresoras;tipo server;Nombre del equipo;Direccion IP;Codigo STS;Observaciones
CDD MASCHWITZ BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;B1623ANQU0001;10.26.30.170;I6298;
CDD MASCHWITZ BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.30.171;I6298;
CDD MERLO BA;METRO_Z7;B;Serv;S;;;1;1;JP;B1772ERSw0001;10.245.75.170;I1070;
CDD MERLO BA;METRO_Z7;B;Imp;;;I;;;JP; ;10.245.75.172;I1070;
CDD MORENO BA;METRO_Z6;B;Serv;S;;;1;1;JP;B1744ZAAU0001;10.245.78.170;I1076;
CDD MORENO BA;METRO_Z6;B;Imp;;;I;;;JP;;10.245.78.171;I1076;
CDD MORON BA;METRO_Z7;B;Serv;S;;;1;1;JP;B1708ZAAU0001;10.247.79.170;I1456;mudanza a suc comercial Moron mixta(Com + cdd)
CDD MORON BA;METRO_Z7;B;Imp;;;I;;;JP;;10.247.79.171;I1456;
CDD QUILMES BA;METRO_Z9;B;Serv;S;;;1;1;JP;B1878ZAAW0001;10.246.146.170;I1148;
CDD QUILMES BA;METRO_Z9;B;Imp;;;I;;;JP;;10.246.146.171;I1148;
CDD QUILMES OESTE BA;METRO_Z9;B;Serv;S;;;1;1;JP;I6405stm001;10-.20.77.170;I6405;Funciona en comercial Quilmes Centro para entregar tg x ventanilla mediantePCE
CDD RAMOS MEJIA BA;METRO_Z7;B;Serv;S;;;1;1;JP;I1064STM001;10.245.65.170;I1064;10.245.65.170
CDD RAMOS MEJIA BA;METRO_Z7;B;Imp;;;I;;;JP;;10.245.65.172;I1064;
CDD RIVADAVIA MZA;05 OESTE;M;Serv;S;;;1;1;JP;I6254STM001;10.120.79.170;I6254;M5577ZAAW0001
CDD RIVADAVIA MZA;05 OESTE;M;Imp;;;I;;;JP;;10.120.79.171;I6254;
CDD SAN FERNANDO BA;METRO_Z5;B;Serv;S;;;1;1;JP;B1646ZAAu0001;10.245.137.170;I1032;
CDD SAN FERNANDO BA;METRO_Z5;B;Imp;;;I;;;JP; ;10.245.137.172;I1032;
CDD SAN JUAN SJ;04 CUYO NOA;J;Serv;S;;;1;1;JP;I5637STM001;10.90.66.173;I5637;J5402ZABW0004
CDD SAN JUAN SJ;04 CUYO NOA;J;Imp;;;I;;;JP;;10.90.66.174;I5637;
CDD SAN JUSTO BA;METRO_Z7;B;Serv;S;;;1;1;JP;B1754ZABu0001;10.245.93.170;I1081;
CDD SAN JUSTO BA;METRO_Z7;B;Imp;;;I;;;JP;;10.147.66.171;I1081;
CDD SAN LUIS SL;04 CUYO NOA;D;Serv;S;;;1;1;JP;I5664STM001;10.40.66.171;I5664;D5702ZACW0002
CDD SAN LUIS SL;04 CUYO NOA;D;Imp;;;I;;;JP;;10.40.66.173;I5664;
CDD SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Serv/klie9803;S;;;1;1;JP;I5712STM001;10.180.66.128;I5712;T4000ZAAW0067
CDD SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;klie;;c;;1;;JP;I5712STM002;10.180.66.87;I5712;
CDD SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;klie;;c;;1;;JP;I5712STM003;10.180.66.140;I5712;
CDD SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;klie;;c;;1;;JP;I5712STM0004;10.180.66.172;I5712;EX SAN JOSE DE GUAYMALLEN 
CDD SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Imp;;;I;;;JP;;10.180.66.16;I5712;
CDD SAN VICENTE BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I5936STM001;10.149.25.170;I5936;C1865ZABW0001
CDD SAN VICENTE BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.149.25.171;I5936;
CDD SANTA FE SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I5135STM001;10.171.66.174;I5135;S3000ZAGW0005
CDD SANTA FE SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.171.66.175;I5135;
CDD TAPIALES BA;METRO_Z7;B;Serv;S;;;1;1;JP;B1770ANFu0001;10.246.138.170;I1090;MUDANZA DE CDD AL STIO CLOG MERCADO CENTRAL
CDD TAPIALES BA;METRO_Z7;B;Imp;;;I;;;JP; ;10.246.138.171;I1090;10.245.98.171 IP ANTERIOR
CDD TEMPERLEY BA;METRO_Z8;B;Serv;S;;;1;1;JP;B1834ZAAu0001;10.246.77.170;I1118;Se cambio IP el 16/10/01
CDD TEMPERLEY BA;METRO_Z8;B;Imp;;;I;;;JP;;10.246.77.171;I1118;
CDD VICENTE LOPEZ BA;METRO_Z4;B;Serv;S;;;1;1;JP;B1636ZAAW0001;10.246.130.170;I1024;
CDD VICENTE LOPEZ BA;METRO_Z4;B;Imp;;;I;;;JP;;10.246.130.170;I1024;
CDD VILLA BALLESTER BA;METRO_Z6;B;Serv;S;;;1;1;JP;I6225STM001;10.245.108.170;I6225;B1653ASOW0001
CDD VILLA BALLESTER BA;METRO_Z6;B;Imp;;;I;;;JP;;;I6225;
CENTENARIO N;06 SUR;Q;Serv;S;;;1;1;JP;I2660STM001;10.150.69.170;I2660;Q8309ZAAW0070
CENTENARIO N;06 SUR;Q;Imp;;;I;;;JP;;10.150.69.171;I2660;
CERES SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2934STM001;10.171.72.170;I2934;S2340ZAAW0002
CERES SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.171.72.171;I2934;
CHACABUCO BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1302STM001;10.26.47.170;I1302;B6740ZAAW0001
CHACABUCO BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.47.171;I1302;
CHAJARI ER;03 CENTRO NEA;E;Serv;S;;;1;1;JP;I2376STM001;10.50.80.170;I2376;E3228ZAAW0001
CHAJARI ER;03 CENTRO NEA;E;Imp;;;I;;;JP;;10.50.80.171;I2376;
CHAMICAL LR;04 CUYO NOA;F;Serv;S;;;1;1;#N/D;I2533STM001;10.60.68.170;I2533;F5380ZAAW0001
CHAMICAL LR;04 CUYO NOA;F;Imp;;;I;;;#N/D;;10.60.68.171;I2533;baja terminal al ctt MENDOZA por falta personal
CHASCOMUS BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1325STM001;10.26.14.170;I1325;B7130ZAAW0001
CHASCOMUS BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.14.171;I1325;
CHILECITO LR;04 CUYO NOA;F;Serv;S;;;1;1;JP;F5360ZAAu0001;10.60.67.170;I2527;
CHILECITO LR;04 CUYO NOA;F;Imp;;;I;;;JP;;10.60.67.171;I2527;
CHIVILCOY BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1282STM001;10.26.24.170;I1282;B6620ZAAS0001 hasta 23/12/2008 ip=10.149.23.170
CHIVILCOY BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP; ;10.26.24.171;I1282;
CHOELE CHOEL RN;06 SUR;R;Serv;S;;;1;1;JP;I2696STM001;10.160.72.170;I2696;R8360ZAAW0070
CHOELE CHOEL RN;06 SUR;R;Imp;;;I;;;JP;;10.160.72.171;I2696;
CINCO SALTOS RN;06 SUR;R;Serv;S;;;1;1;JP;I2690STM001;10.150.68.170;I2690;R8303ZAAW0070
CINCO SALTOS RN;06 SUR;R;Imp;;;I;;;JP;;10.150.68.171;I2690;
CIPOLLETTI RN;06 SUR;R;Serv;S;;;1;1;JP;I2692STM001;10.160.70.170;I2692;R8324ZAAW0070
CIPOLLETTI RN;06 SUR;R;Imp;;;I;;;JP;;10.160.70.171;I2692;
CIUDADDELLIBERTADORGRALSANMARTIN BA;METRO_Z6;B;Serv;S;;;1;1;JP;B1650ZABu0001;10.245.80.170;I1034;CDD SAN NMARTIN BA
CIUDADDELLIBERTADORGRALSANMARTIN BA;METRO_Z6;B;Imp;;;I;;;JP;;10.245.80.173;I1034;
CLORINDA F;03 CENTRO NEA;P;Serv;S;;;1;1;JP;I2432STM001;10.140.67.170;I2432;P3610ZAAW0002
CLORINDA F;03 CENTRO NEA;P;Imp;;;I;;;JP;;10.140.67.171;I2432;
COMANDANTE LUIS PIEDRA BUENA SC;06 SUR;Z;Serv;S;;;1;1;JP;I2839STM001;10.240.73.170;I2839;Z9303ZAAW0070
COMANDANTE LUIS PIEDRA BUENA SC;06 SUR;Z;Imp;;;I;;;JP;;10.240.73.171;I2839;
COMODORO RIVADAVIA CHT;06 SUR;U;Serv;S;;;1;1;JP;I2031STM001;10.190.66.170;I2031;U9000ZACW0070
COMODORO RIVADAVIA CHT;06 SUR;U;Imp;;;I;;;JP;;10.190.66.173;I2031;
COMODORO RIVADAVIA CTT CHT;06 SUR;U;Serv;S;;;2;;JP;I6090STM001;10.190.66.171;I6090;U9000ZACW0071
COMODORO RIVADAVIA CTT CHT;06 SUR;U;Klie;;C;;;;JP;I6090STM002;10.190.66.172;I6090;U9000ZACW0072
COMODORO RIVADAVIA CTT CHT;06 SUR;U;Imp;;;I;;;JP;;10.190.66.174;I2031;
CONCEPCION DEL URUGUAY ER;03 CENTRO NEA;E;Serv;S;;;1;1;JP;I2381STM001;10.55.66.170;I2381;E3260ZAAW0001
CONCEPCION DEL URUGUAY ER;03 CENTRO NEA;E;Imp;;;I;;;JP;;10.55.66.171;I2381;
CONCEPCION T;04 CUYO NOA;T;Serv;S;;;1;1;JP;I3130STM001;10.180.68.170;I3130;T4146ZAAW0001
CONCEPCION T;04 CUYO NOA;T;Imp;;;I;;;JP; ;10.180.68.171;I3130;
CONCORDIA ER;03 CENTRO NEA;E;Serv;S;;;1;1;JP;I2365STM001;10.52.66.170;I2365;E3200ZAAW0003
CONCORDIA ER;03 CENTRO NEA;E;Imp;;;I;;;JP;;10.52.66.172;I2365;
CORDOBA CBA;03 CENTRO NEA;X;Serv;S;;;2;1;JP;I2070STM001;10.220.66.170;I2070;CDD CBA MAIL HUB01CBA
CORDOBA CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZANu0003;10.220.66.172;I2070;CDD CBA MAIL HUB01CBA
CORDOBA CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.64.140;I2070;HP426
CORDOBA1 CBA;03 CENTRO NEA;X;Serv;S;;;5;1;JP;X5000ZANu0005;10.220.66.174;I3890;CTTCBA
CORDOBA1 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZANu0002;10.220.66.171;I3890;CTTCBA
CORDOBA1 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZANu0004;10.220.66.173;I3890;CTTCBA
CORDOBA1 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZANu0007;10.220.66.176;I3890;CTTCBA
CORDOBA1 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZANu0008;10.220.66.177;I3890;CTTCBA
CORDOBA1 CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.66.179;I3890;CTTCBA
CORDOBA2 CBA;03 CENTRO NEA;X;Serv;S;;;5;;JP;X5000ZAAu0201;10.220.66.160;I6009;CTTCBA
CORDOBA2 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZAAu0202;10.220.66.161;I6009;CTTCBA
CORDOBA2 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZAAu0203;10.220.66.162;I6009;CTTCBA
CORDOBA2 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZAAu0205;10.220.66.18;I6009;CTTCBA
CORDOBA2 CBA;03 CENTRO NEA;X;Klie;;C;;;;JP;X5000ZANu0006;10.220.66.175;I6009;CTTCBA
CORRIENTES CTS;03 CENTRO NEA;W;Serv;S;;;1;1;JP;I2313STM001;10.210.66.170;I2313;W3400ZAAW0036 CDD CTES
CORRIENTES CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.66.175;I2313; 
COSQUIN CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2149STM001;10.220.73.170;I2149;X5166ZAAW0001
COSQUIN CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.73.171;I2149;
CRUZ DEL EJE CBA;03 CENTRO NEA;X;Serv;S;;;1;1;JP;I2178STM001;10.220.91.170;I2178;X5280ZAAW0001
CRUZ DEL EJE CBA;03 CENTRO NEA;X;Imp;;;I;;;JP;;10.220.91.171;I2178;
CTT BAIRES SUPERVISION CF;08 OPERACIONES TELEGRAFICAS;C;Serv;S;;;1;1;JP;C1000ZAAu0515;10.30.136.6;I6271;CTT BAIRES EN SITIO SALA TRANSM MAIL: TRANSMISION CENTRAL DE TELEGRAMAS
CTT BAIRES SUPERVISION CF;08 OPERACIONES TELEGRAFICAS;C;Imp;;;I;;;JP;;10.30.136.202;I6271;HP 9050
CTT BAIRES A CF;8 OPERACIONES TELEGRAFICAS;;SERV;S;;;;;OS;B1842ZACS0173;10.1.122.24;I9801;en data center
CTT INTERIOR A CF;8 OPERACIONES TELEGRAFICAS;;SERV;S;;;;;OS;B1842ZACS0179;10.1..12.136;I9803;en data center
CTT CORRIENTES CTS;03 CENTRO NEA;W;Serv;S;;;4;1;JP;I6275STM001;10.210.66.171;I6275;W3400ZAAW0037
CTT CORRIENTES CTS;03 CENTRO NEA;W;Klie;;C;;;;JP;I6275STM003;10.210.66.172;I6275;W3400ZAAW0038
CTT CORRIENTES CTS;03 CENTRO NEA;W;Klie;;C;;;;JP;I6275STM002;10.210.66.173;I6275;W3400ZAAW0039
CTT CORRIENTES CTS;03 CENTRO NEA;W;Klie;;C;;;;JP;I6275STM004;10.210.66.15;I6275;st295315 - W3400ZAAW0056
CTT CORRIENTES CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.66.174;I6275; 
CTT MENDOZA MZA;04 CUYO NOA;M;Serv;S;;;6;1;JP;M5500ZALu0005;10.120.66.175;I6359;Baja x traslado a Salta
CTT MENDOZA MZA;05 OESTE;M;Klie;;c;;;;JP;M5500ZALU0002;10.120.66.171;I6359;
CTT MENDOZA MZA;05 OESTE;M;Klie;;c;;;;JP;M5500ZALU0003;10.120.66.172;I6359;baja x traslado terminal renombrada a I3070 SDE
CTT MENDOZA MZA;04 CUYO NOA;M;Klie;;C;;;;JP;M5500ZALu0004;10.120.66.174;I6359;
CTT MENDOZA MZA;04 CUYO NOA;M;Klie;;C;;;;JP;M5500ZALu0006;10.120.66.176;I6359;
CTT MENDOZA MZA;04 CUYO NOA;M;Klie;;C;;;;JP;M5500ZALu0007;10.120.66.177;I6359;baja x traslado terminal renombrada a I5860 CDD Catamarca
CTT MENDOZA MZA;04 CUYO NOA;M;Imp;;;I;;;JP;;10.120.66.178;I6359;
CTT SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Serv;S;;;;1;JP;i5711STM0001;10.180.66.170;I5711;
CTT SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Klie;;C;;;;JP;I5711stm0002;10.180.66.171;I5711;
CTT SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Klie;;;;;;JP;i5711STM0003;10.180.66.87;i5711;
CTT SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Klie;;;;;;JP;i5711STM0004;10.180.66.140;i5711;4
CTT SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Klie;;;;;;JP;i5711STM0005;10.180.66.172;i5711;
CTT SAN MIGUEL DE TUCUMAN T;04 CUYO NOA;T;Imp;;;I;;;JP;;10.180.66.15;I5711;
CDD 3 SANTA FE;03 CENTRO NEA;S;Serv;s;;;;;0;I2997STM001;10.171.67.170;I2997;
CDD 3 SANTA FE;03 CENTRO NEA;S;IMP;;;1;;;;;10.171.67.171;I2997;ex cdd 8 santa fe
CTT SANTA FE SF;03 CENTRO NEA;S;Serv;S;;;5;1;JP;I2988STM001;10.171.66.170;I2988;S3000ZAGW0001
CTT SANTA FE SF;03 CENTRO NEA;S;Klie;;C;;;;JP;I2988STM002;10.171.66.171;I2988;S3000ZAGW0002
CTT SANTA FE SF;03 CENTRO NEA;S;Klie;;C;;;;JP;I2988STM003;10.171.66.172;I2988;S3000ZAGW0003
CTT SANTA FE SF;03 CENTRO NEA;S;Klie;;C;;;;JP;I2988STM004;10.171.66.173;I2988;S3000ZAGW0004
CTT SANTA FE SF;03 CENTRO NEA;S;Klie;;C;;;;JP;I2988STM005;10.171.66.181;I2988;ex cdd 8 santa fe
CTT SANTA FE SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.171.66.176;I2988;
CURUZU CUATIA CTS;03 CENTRO NEA;W;Serv;S;;;1;1;JP;W3460ZAAU0002;10.210.68.170;I2334; 
CURUZU CUATIA CTS;03 CENTRO NEA;W;Imp;;;I;;;JP;;10.210.68.171;I2334; 
CUTRAL CO N;06 SUR;Q;Serv;S;;;1;1;JP;I2664STM001;10.150.72.171;I2664;Q8322ZAAW0070
CUTRAL CO N;06 SUR;Q;Imp;;;I;;;JP;;10.150.72.172;I2664;
DOLORES BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1309STM001;10.26.53.170;I1309;B7100ZAAW0001
DOLORES BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.53.171;I1309;
EL BOLSON  RN;06 SUR;R;Serv;S;;;1;1;JP;I2707STM001;10.160.69.170;I2707;R8430ZAAW0070
EL BOLSON  RN;06 SUR;R;Imp;;;I;;;JP;;10.160.69.171;I2707;
EL CALAFATE SC;06 SUR;Z;Serv;S;;;1;1;JP;I2853STM001;10.240.70.170;I2853;Z9405ZAAW0070
EL CALAFATE SC;06 SUR;Z;Imp;;;I;;;JP; ;10.240.70.171;I2853;
EL PALOMAR BA;METRO_z6;B;Serv;S;;;1;1;JP;B1685GTBu0001;10.245.97.170;I1056;
EL PALOMAR BA;METRO_z6;B;Imp;;;I;;;JP; ;10.245.97.171;I1056;
ELDORADO MS;03 CENTRO NEA;N;Serv;S;;;1;1;JP;I2648STM001;10.130.75.170;I2648;N3380ZAAW0002
ELDORADO MS;03 CENTRO NEA;N;Imp;;;I;;;JP;;10.130.75.25;I2648;
ENSENADA BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1180STM001;10.20.72.170;I1180;B1925ZAAW0001
ENSENADA BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.20.72.171;I1180;
ESCOBAR BA;02 PBA_LA PAMPA;B;Serv;S;;;1;1;JP;I1017STM001;10.26.58.170;I1017;B1625ZAAW0001
ESCOBAR BA;02 PBA_LA PAMPA;B;Imp;;;I;;;JP;;10.26.58.171;I1017;
ESPERANZA SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I3032STM001;10.171.70.170;I3032;S3080ZAAW0001
ESPERANZA SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.171.70.171;I3032;
ESQUEL CHT;06 SUR;U;Serv;S;;;1;1;JP;I2052STM001;10.190.69.170;I2052;U9200ZABW0070
ESQUEL CHT;06 SUR;U;Imp;;;I;;;JP;;10.190.69.171;I2052;
EZEIZA BA;METRO_Z8;B;Serv;S;;;1;1;JP;B1804ZABU0001;10.245.105.170;I1100;
EZEIZA BA;METRO_Z8;B;Imp;;;I;;;JP;;10.245.105.171;I1100;
FIRMAT SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2942STM001;10.170.73.170;I2972;S2630ZAAW0001
FIRMAT SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.170.73.171;I2972;
FLORENCIO VARELA BA;METRO_Z9;B;Serv;S;;;1;1;JP;B1888EPDu0001;10.245.116.170;I1155;
FLORENCIO VARELA BA;METRO_Z9;B;Imp;;;I;;;JP; ;10.245.116.171;I1155;
FORMOSA F;03 CENTRO NEA;P;Serv;S;;;2;1;JP;I2425STM001;10.140.66.170;I2425;P3600ZAAW0007
FORMOSA F;03 CENTRO NEA;P;Klie;;C;;;;JP;I2425STM002;10.140.66.171;I2425;P3600ZAAW0008
FORMOSA F;03 CENTRO NEA;P;Imp;;;I;;;JP;;10.140.66.172;I2425; 
GALVEZ SF;03 CENTRO NEA;S;Serv;S;;;1;1;JP;I2919STM001;10.171.74.170;I2919;S2252ZAAW0001
GALVEZ SF;03 CENTRO NEA;S;Imp;;;I;;;JP;;10.171.74.171;I2919;
