NIS;Provincia;Tipo;Departamento;Dirección;Nombre normalizado;IPv4;Anotaciones;
I2143;X;Impresora;TELEG CORDOBA - VILLA CARLOS PAZ;SAN MARTIN 198;No aplica;10.220.72.171;;
I2149;X;Server;TELEG CORDOBA - COSQUIN;TUCUMAN 1069;I2149STM001;10.220.73.170;;
I2151;X;Server;TELEG CORDOBA - LA FALDA;AV ARGENTINA 184;I2151STM001;10.220.69.170;;
I2151;X;Impresora;TELEG CORDOBA - LA FALDA;AV ARGENTINA 184;No aplica;10.220.69.171;;
I2160;X;Server;TELEG CORDOBA - ALTA GRACIA;AV LIBERTADOR 577;I2160STM001;10.220.71.170;;
I2160;X;Impresora;TELEG CORDOBA - ALTA GRACIA;AV LIBERTADOR 577;No aplica;10.220.71.171;;
I2163;X;Server;TELEG CORDOBA - STA. ROSA DE CALAMUCHITA;EL NOGAL 170;I2163STM001;10.220.92.170;;
I2163;X;Impresora;TELEG CORDOBA - STA. ROSA DE CALAMUCHITA;EL NOGAL 170;No aplica;10.220.92.171;;
I2170;X;Server;TELEG CORDOBA - JESUS MARIA;SARMIENTO 15;I2170STM001;10.220.68.170;;
I2170;X;Impresora;TELEG CORDOBA - JESUS MARIA;SARMIENTO 15;No aplica;10.220.68.171;;
I2178;X;Server;TELEG CORDOBA - CRUZ DEL EJE;PTE M T DE ALVEAR 403;I2178STM001;10.220.91.170;;
I2185;X;Server;TELEG CORDOBA - RIO CUARTO;GRAL PAZ 624;I2185STM001;10.221.66.170;;
I2185;X;Impresora;TELEG CORDOBA - RIO CUARTO;GRAL PAZ 624;No aplica;10.221.66.171;;
I2205;X;Server;TELEG CORDOBA - RIO TERCERO;INTE DE BUONO 81;I2205STM001;10.220.88.170;;
I2205;X;Impresora;TELEG CORDOBA - RIO TERCERO;INTE DE BUONO 81;No aplica;10.220.88.171;;
I2211;X;Server;TELEG CORDOBA - VILLA DOLORES;ITALIA 299;I2211STM001;10.220.70.170;;
I2211;X;Impresora;TELEG CORDOBA - VILLA DOLORES;ITALIA 299;No aplica;10.220.70.171;;
I2217;X;Server;TELEG CORDOBA - VILLA MARIA;CATAMARCA 1190;I2217STM001;10.222.66.170;;
I2251;X;Server;TELEG CORDOBA - LABOULAYE;AV INDEPENDENCIA 266;I2251STM001;10.220.90.170;;
I2251;X;Impresora;TELEG CORDOBA - LABOULAYE;AV INDEPENDENCIA 266;No aplica;10.220.90.171;;
I2291;X;Server;TELEG CORDOBA - MARCOS JUAREZ;AV L N ALEM 352;I2291STM001;10.222.68.170;;
I2291;X;Impresora;TELEG CORDOBA - MARCOS JUAREZ;AV L N ALEM 352;No aplica;10.222.68.171;;
I2301;W;Server;TELEG CORRIENTES - PASO DE LOS LIBRES;JUAN SITJANIN 998;I2301STM001;10.210.74.170;No responde por WebTeleg ni figura en inventario. Ref: SD0280395 donde se informa que la PC tuvo un problema y por el momento la oficina no está funcionando. Se ha realizado un desvío telegráfico.;
I2313;W;Server;TELEG CORRIENTES;SAN JUAN 1098;I2313STM001;10.210.66.170;;
I2313;W;Impresora;TELEG CORRIENTES;SAN JUAN 1098;No aplica;10.210.66.172;;
I2313;W;Impresora;TELEG CORRIENTES;SAN JUAN 1098;No aplica;10.210.66.175;;
I2326;W;Server;TELEG CORRIENTES - SALADAS;FLORIDA 601;I2326STM001;10.210.70.170;;
I2328;W;Server;TELEG CORRIENTES - BELLA VISTA;CORRIENTES 689;I2328STM001;10.210.76.170;;
I2332;W;Server;TELEG CORRIENTES - GOYA;GRAL M BELGRANO 942;I2332STM001;10.210.67.170;;
I2332;W;Impresora;TELEG CORRIENTES - GOYA;GRAL M BELGRANO 942;No aplica;10.210.67.171;;
I2334;W;Server;TELEG CORRIENTES - CURUZU CUATIA;BERON DE ASTRADA 999;W3460ZAAU0002;10.210.68.170;;
I2337;W;Server;TELEG CORRIENTES - MERCEDES;RIVADAVIA 599;I2337STM001;10.210.69.170;;
I2337;W;Impresora;TELEG CORRIENTES - MERCEDES;RIVADAVIA 599;No aplica;10.210.69.180;;
I2349;E;Server;TELEG ENTRE RIOS - GUALEGUAYCHU;URQUIZA 1036;I2349STM001;10.50.79.170;;
I2349;E;Impresora;TELEG ENTRE RIOS - GUALEGUAYCHU;URQUIZA 1036;No aplica;10.50.79.180;;
I2350;E;Server;TELEG ENTRE RIOS - GUALEGUAY;GRAL J J DE URQUIZA 128;I2350STM001;10.50.82.170;;
I2350;E;Impresora;TELEG ENTRE RIOS - GUALEGUAY;GRAL J J DE URQUIZA 128;No aplica;10.50.82.180;;
I2361;E;Server;TELEG ENTRE RIOS - ROSARIO DEL TALA;PTE H YRIGOYEN 88;I2361STM001;10.50.69.170;;
I2361;E;Impresora;TELEG ENTRE RIOS - ROSARIO DEL TALA;PTE H YRIGOYEN 88;No aplica;10.50.69.180;;
I2364;E;Server;TELEG ENTRE RIOS - LA PAZ;9 DE JULIO 1117;I2364STM001;10.50.67.170;;
I2364;E;Impresora;TELEG ENTRE RIOS - LA PAZ;9 DE JULIO 1117;No aplica;10.50.67.150;;
I2365;E;Server;TELEG ENTRE RIOS - CONCORDIA;PTE H YRIGOYEN 575;I2365STM001;10.52.66.170;;
I2376;E;Server;TELEG ENTRE RIOS - CHAJARI;URQUIZA 1240;I2376STM001;10.50.80.170;;
I2376;E;Impresora;TELEG ENTRE RIOS - CHAJARI;URQUIZA 1240;No aplica;10.50.80.171;;
I2377;E;Server;TELEG ENTRE RIOS - VILLAGUAY;DR MARIANO MORENO 921;I2377STM001;10.50.71.170;;
I2377;E;Impresora;TELEG ENTRE RIOS - VILLAGUAY;DR MARIANO MORENO 921;No aplica;10.50.71.150;;
I2381;E;Server;TELEG ENTRE RIOS - CONCEPCION DEL URUGUAY;GALARZA 712;I2381STM001;10.55.66.170;;
I2381;E;Impresora;TELEG ENTRE RIOS - CONCEPCION DEL URUGUAY;GALARZA 712;No aplica;10.55.66.171;;
I2387;E;Server;TELEG ENTRE RIOS - NOGOYA;9 DE JULIO 701;I2387STM001;10.50.70.170;;
I2387;E;Impresora;TELEG ENTRE RIOS - NOGOYA;9 DE JULIO 701;No aplica;10.50.70.180;;
I2412;E;Server;TELEG ENTRE RIOS - PARANA;25 DE MAYO 102;I2412STM001;10.50.66.170;;
I2412;E;Impresora;TELEG ENTRE RIOS - PARANA;25 DE MAYO 102;No aplica;10.50.66.180;;
I2425;P;Server;TELEG FORMOSA;AV 9 DE JULIO 920;I2425STM001;10.140.66.170;;
I2425;P;Cliente;TELEG FORMOSA;AV 9 DE JULIO 920;I2425STM002;10.140.66.171;;
I2425;P;Impresora;TELEG FORMOSA;AV 9 DE JULIO 920;No aplica;10.140.66.172;;
I2425;P;Impresora;TELEG FORMOSA;AV 9 DE JULIO 920;No aplica;10.140.66.180;;
I2432;P;Server;TELEG FORMOSA - CLORINDA;JOSE FERNANDEZ CANCIO 1401;I2432STM001;10.140.67.170;;
I2432;P;Impresora;TELEG FORMOSA - CLORINDA;JOSE FERNANDEZ CANCIO 1401;No aplica;10.140.67.150;;
I2442;Y;Server;TELEG JUJUY - SAN PEDRO;SARMIENTO 280;I2442STM001;10.230.70.170;;
I2442;Y;Impresora;TELEG JUJUY - SAN PEDRO;SARMIENTO 280;No aplica;10.230.70.171;;
I2444;Y;Server;TELEG JUJUY - LIBERTADOR GRAL SAN MARTIN;MANUEL BELGRANO 495;I2444STM001;10.230.69.170;;
I2444;Y;Impresora;TELEG JUJUY - LIBERTADOR GRAL SAN MARTIN;MANUEL BELGRANO 495;No aplica;10.230.69.180;;
I2450;Y;Server;TELEG JUJUY - SAN SALVADOR DE JUJUY;GUAYAQUILL N° 121;I2450STM001;10.230.71.170;;
I2450;Y;Impresora;TELEG JUJUY - SAN SALVADOR DE JUJUY;GUAYAQUILL N° 121;No aplica;10.230.71.180;;
I2473;Y;Server;TELEG JUJUY - LA QUIACA;AV SARMIENTO 207;I2473STM001;10.230.73.170;;
I2473;Y;Impresora;TELEG JUJUY - LA QUIACA;AV SARMIENTO 207;No aplica;10.230.73.180;;
I2484;L;Server;TELEG LA PAMPA - SANTA ROSA;B RIVADAVIA 202;I2484STM001;10.110.66.170;;
I2484;L;Impresora;TELEG LA PAMPA - SANTA ROSA;B RIVADAVIA 202;No aplica;10.110.66.180;;
I2501;L;Server;TELEG LA PAMPA - GENERAL PICO;CALLE 22 653;I2501STM001;10.110.67.170;;
I2501;L;Impresora;TELEG LA PAMPA - GENERAL PICO;CALLE 22 653;No aplica;10.110.67.171;;
I2527;F;Server;TELEG LA RIOJA - CHILECITO;JOAQUIN V GONZALEZ 201;F5360ZAAU0001;10.60.67.170;;
I2551;M;Server;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;M5500ZALU0001;10.120.66.170;;
I2551;M;Cliente;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;M5500ZALU0002;10.120.66.171;;
I2551;M;Cliente;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;M5500ZALU0003;10.120.66.172;;
I2551;M;Cliente;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;M5500ZALU0005;10.120.66.175;;
I2551;M;Cliente;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;M5500ZALU0007;10.120.66.177;;
I2551;M;Cliente;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;M5535ZAHU0001;10.120.66.178;;
I2551;M;Impresora;TELEG MENDOZA;GRAL. JOSÉ DE SAN MARTÍN 678;No aplica;10.120.66.173;;
I2561;M;Server;TELEG MENDOZA - GENERAL SAN MARTIN;25 DE MAYO 389;I2561STM001;10.120.68.173;;
I2573;M;Server;TELEG MENDOZA - SAN RAFAEL;SAN LORENZO 69;I2573STM001;10.120.81.170;;
I2573;M;Impresora;TELEG MENDOZA - SAN RAFAEL;SAN LORENZO 69;No aplica;10.120.81.180;;
I2574;M;Server;TELEG MENDOZA - VILLA NUEVA DE GUAYMALLEN;AV GRAL SAN MARTIN 678;M5535ZAHU0001;10.120.66.178;;
I2574;M;Impresora;TELEG MENDOZA - VILLA NUEVA DE GUAYMALLEN;AV GRAL SAN MARTIN 678;No aplica;10.120.66.68;;
I2581;M;Server;TELEG MENDOZA - GENERAL ALVEAR;AV ALVEAR 287;I2581STM001;10.120.76.170;;
I2581;M;Impresora;TELEG MENDOZA - GENERAL ALVEAR;AV ALVEAR 287;No aplica;10.120.76.180;;
I2582;M;Server;TELEG MENDOZA - GODOY CRUZ;AV PTO FRANCISCO P MORENO 1850;M5501ZAAU0001;10.120.67.170;;
I2582;M;Impresora;TELEG MENDOZA - GODOY CRUZ;AV PTO FRANCISCO P MORENO 1850;No aplica;10.120.67.171;;
I2586;M;Server;TELEG MENDOZA - LUJAN DE CUYO;ALCIDES GUIŃAZU 450;I2586STM001;10.120.75.170;;
I2586;M;Impresora;TELEG MENDOZA - LUJAN DE CUYO;ALCIDES GUIŃAZU 450;No aplica;10.120.75.171;;
I2590;M;Server;TELEG MENDOZA - MAIPU;MANUEL BELGRANO 359;I2590STM001;10.120.70.170;;
I2590;M;Impresora;TELEG MENDOZA - MAIPU;MANUEL BELGRANO 359;No aplica;10.120.70.171;;
I2602;M;Server;TELEG MENDOZA - TUNUYAN;PTE H YRIGOYEN 721;I2602STM001;10.120.73.170;;
I2602;M;Impresora;TELEG MENDOZA - TUNUYAN;PTE H YRIGOYEN 721;No aplica;10.120.73.171;;
I2610;M;Server;TELEG MENDOZA - LAS HERAS;AV SAN MARTIN 715;I2610STM001;10.120.66.4;;
I2613;N;Server;TELEG MISIONES - POSADAS;AVDA. COMANDANTE ANDRESITO 3379;I2613STM001;10.130.66.170;;
I2613;N;Impresora;TELEG MISIONES - POSADAS;AVDA. COMANDANTE ANDRESITO 3379;No aplica;10.130.66.174;;
I2622;N;Server;TELEG MISIONES - JARDIN AMERICA;AV ARGENTINA 650;I2622STM001;10.130.70.170;;
I2622;N;Impresora;TELEG MISIONES - JARDIN AMERICA;AV ARGENTINA 650;No aplica;10.130.70.171;HP 4103. Sin funcionar a la espera de tóner.;
I2622;N;Impresora;TELEG MISIONES - JARDIN AMERICA;AV ARGENTINA 650;No aplica;10.130.70.172;HP 426. Por el momento se utiliza ya que la original no tiene tóner.;
I2624;N;Server;TELEG MISIONES - APOSTOLES;AV SARMIENTO 334;I2624STM001;10.130.69.170;;
I2624;N;Impresora;TELEG MISIONES - APOSTOLES;AV SARMIENTO 334;No aplica;10.130.69.171;;
I2629;N;Server;TELEG MISIONES - OBERA;SANTA FE 205;I2629STM001;10.130.68.170;;
I2629;N;Impresora;TELEG MISIONES - OBERA;SANTA FE 205;No aplica;10.130.68.180;;
I2635;N;Server;TELEG MISIONES - IGUAZU;SAN MARTIN 784;I2635STM001;10.130.74.170;;
I2635;N;Impresora;TELEG MISIONES - IGUAZU;SAN MARTIN 784;No aplica;10.130.74.171;;
I2648;N;Server;TELEG MISIONES - EL DORADO;AV GRAL SAN MARTIN 1690;I2648STM001;10.130.75.170;;
I2659;Q;Server;TELEG NEUQUEN;SANTA FE 101;Q8300ZAAU0070;10.150.66.170;;
I2659;Q;Impresora;TELEG NEUQUEN;SANTA FE 101;No aplica;10.150.66.49;;
I2660;Q;Server;TELEG NEUQUEN - CENTENARIO;SAN MARTIN 370;I2660SMT001;10.150.69.170;;
I2660;Q;Impresora;TELEG NEUQUEN - CENTENARIO;SAN MARTIN 370;No aplica;10.150.69.171;;
I2664;Q;Server;TELEG NEUQUEN - CUTRALCO;AV PTE GRAL JULIO A ROCA 660;I2664STM001;10.150.72.171;;
I2664;Q;Impresora;TELEG NEUQUEN - CUTRALCO;AV PTE GRAL JULIO A ROCA 660;No aplica;10.150.72.150;;
I2670;Q;Server;TELEG NEUQUEN - ZAPALA;AV SAN MARTIN 324;I2670STM001;10.150.73.170;;
I2670;Q;Impresora;TELEG NEUQUEN - ZAPALA;AV SAN MARTIN 324;No aplica;10.150.73.171;;
I2674;Q;Server;TELEG NEUQUEN - SAN MARTIN DE LOS ANDES;AV GABRIEL SAUREL 690;I2674STM001;10.150.71.170;;
I2674;Q;Impresora;TELEG NEUQUEN - SAN MARTIN DE LOS ANDES;AV GABRIEL SAUREL 690;No aplica;10.150.71.180;;
I2690;R;Server;TELEG RIO NEGRO - CINCO SALTOS;AV BLUMETTI 22;I2690STM001;10.150.68.170;;
I2690;R;Impresora;TELEG RIO NEGRO - CINCO SALTOS;AV BLUMETTI 22;No aplica;10.150.68.171;;
I2692;R;Server;TELEG RIO NEGRO - CIPOLETTI;TENIENTE 1RO IBAŃEZ 5;I2692STM001;10.160.70.170;;
I2692;R;Impresora;TELEG RIO NEGRO - CIPOLETTI;TENIENTE 1RO IBAŃEZ 5;No aplica;10.160.70.171;;
I2694;R;Server;TELEG RIO NEGRO - GENERAL ROCA;AV PTE GRAL JULIO A ROCA 1462;I2694STM001;10.160.74.170;;
I2694;R;Impresora;TELEG RIO NEGRO - GENERAL ROCA;AV PTE GRAL JULIO A ROCA 1462;No aplica;10.160.74.171;;
I2696;R;Server;TELEG RIO NEGRO - CHOELE CHOEL;AV GRAL SAN MARTIN 1298;I2696STM001;10.160.72.170;;
I2696;R;Impresora;TELEG RIO NEGRO - CHOELE CHOEL;AV GRAL SAN MARTIN 1298;No aplica;10.160.72.180;;
I2700;R;Server;TELEG RIO NEGRO - BARILOCHE;PTO FRANCISCO P MORENO 175;I2700STM001;10.160.73.170;;
I2707;R;Server;TELEG RIO NEGRO - EL BOLSON;AV SAN MARTIN 2860;I2707STM001;10.160.69.170;;
I2707;R;Impresora;TELEG RIO NEGRO - EL BOLSON;AV SAN MARTIN 2860;No aplica;10.160.69.171;;
I2708;R;Server;TELEG RIO NEGRO - VIEDMA;B RIVADAVIA 151;I2708STM001;10.160.66.170;;
I2708;R;Impresora;TELEG RIO NEGRO - VIEDMA;B RIVADAVIA 151;No aplica;10.160.66.171;;
I2712;R;Server;TELEG RIO NEGRO - SAN ANTONIO OESTE;ALTE G BROWN 305;I2712STM001;10.160.71.170;;
I2712;R;Impresora;TELEG RIO NEGRO - SAN ANTONIO OESTE;ALTE G BROWN 305;No aplica;10.160.71.171;;
I2714;R;Server;TELEG RIO NEGRO - VILLA REGINA;DOMINGO SARMIENTO 98;I2714STM001;10.160.68.170;;
I2714;R;Impresora;TELEG RIO NEGRO - VILLA REGINA;DOMINGO SARMIENTO 98;No aplica;10.160.68.171;;
I2725;A;Server;TELEG SALTA;GREGORIO DEAN FUNES 160;I2725STM001;10.10.66.170;;
I2725;A;Cliente;TELEG SALTA;GREGORIO DEAN FUNES 160;I2725STM003;10.10.66.173;;
I2725;A;Impresora;TELEG SALTA;GREGORIO DEAN FUNES 160;No aplica;10.10.66.114;;
I2739;A;Server;TELEG SALTA - GENERAL GUEMES;DR DOMINGO CABRED 201;I2739STM001;10.10.70.170;;
I2739;A;Impresora;TELEG SALTA - GENERAL GUEMES;DR DOMINGO CABRED 201;No aplica;10.10.70.171;;
I2742;A;Server;TELEG SALTA - METAN;CAP JOSE I SIERRA 358;I2742STM001;10.10.69.170;;
I2742;A;Impresora;TELEG SALTA - METAN;CAP JOSE I SIERRA 358;No aplica;10.10.69.171;;
I2747;A;Server;TELEG SALTA - SAN RAMON DE LA NUEVA ORAN;AV VICENTE LOPEZ Y PLANES 402;I2747STM001;10.10.75.170;;
I2747;A;Impresora;TELEG SALTA - SAN RAMON DE LA NUEVA ORAN;AV VICENTE LOPEZ Y PLANES 402;No aplica;10.10.75.140;;
I2754;A;Server;TELEG SALTA - TARTAGAL;GRAL MARTIN M GUEMES 501;I2754STM001;10.10.76.170;;
I2754;A;Impresora;TELEG SALTA - TARTAGAL;GRAL MARTIN M GUEMES 501;No aplica;10.10.76.171;;
I2768;J;Server;TELEG SAN JUAN V;AV JOSE I DE LA ROZA 259;I2768STM001;10.90.66.170;;
I2768;J;Impresora;TELEG SAN JUAN V;AV JOSE I DE LA ROZA 259;No aplica;10.90.66.171;;
I2782;J;Server;TELEG SAN JUAN - VILLA KRAUSE;AV ESPAŃA 446;I2782STM001;10.90.67.171;;
I2782;J;Impresora;TELEG SAN JUAN - VILLA KRAUSE;AV ESPAŃA 446;No aplica;10.90.67.172;;
I2790;J;Server;TELEG SAN JUAN - JACHAL;SAN MARTIN 493;I2790STM001;10.90.68.170;;
I2799;D;Server;TELEG SAN LUIS V SL;SAN MARTIN 801;I2799STM001;10.40.66.170;;
I2799;D;Impresora;TELEG SAN LUIS V SL;SAN MARTIN 801;No aplica;10.40.66.172;;
I2799;D;Impresora;TELEG SAN LUIS V SL;SAN MARTIN 801;No aplica;10.40.66.173;;
I2807;D;Server;TELEG SAN LUIS - VILLA MERCEDES;GUILLET LEON 31;I2807STM001;10.40.84.170;;
I2807;D;Impresora;TELEG SAN LUIS - VILLA MERCEDES;GUILLET LEON 31;No aplica;10.40.84.171;;
I2831;Z;Server;TELEG SANTA CRUZ - CALETA OLIVIA;PTE H YRIGOYEN 194;I2831STM001;10.240.71.170;;
I2831;Z;Impresora;TELEG SANTA CRUZ - CALETA OLIVIA;PTE H YRIGOYEN 194;I2831STM001;10.240.71.171;;
I2833;Z;Server;TELEG SANTA CRUZ - PICO TRUNCADO;AV B RIVADAVIA 455;I2833STM001;10.240.68.170;;
I2833;Z;Impresora;TELEG SANTA CRUZ - PICO TRUNCADO;AV B RIVADAVIA 455;No aplica;10.240.68.171;;
I2834;Z;Server;TELEG SANTA CRUZ - LAS HERAS;SAN MARTIN 300;Z9017ZAAU0070;10.240.74.170;;
I2834;Z;Impresora;TELEG SANTA CRUZ - LAS HERAS;SAN MARTIN 300;No aplica;10.240.74.171;;
I2837;Z;Server;TELEG SANTA CRUZ - PUERTO DESEADO;GRAL SAN MARTIN 1075;I2837STM001;10.240.77.170;;
I2837;Z;Impresora;TELEG SANTA CRUZ - PUERTO DESEADO;GRAL SAN MARTIN 1075;No aplica;10.240.77.151;;
I2839;Z;Server;TELEG SANTA CRUZ - COMANDANTE LUIS PIEDRA BUENA;AV JORGE IBAŃEZ 374;I2839STM001;10.240.73.170;;
I2839;Z;Impresora;TELEG SANTA CRUZ - COMANDANTE LUIS PIEDRA BUENA;AV JORGE IBAŃEZ 374;No aplica;10.240.73.180;;
I2840;Z;Server;TELEG SANTA CRUZ - PUERTO SAN JULIAN;AV GRAL SAN MARTIN 155;Z9310ZAAU0070;10.240.75.170;;
I2840;Z;Impresora;TELEG SANTA CRUZ - PUERTO SAN JULIAN;AV GRAL SAN MARTIN 155;No aplica;10.240.75.171;;
I2842;Z;Server;TELEG SANTA CRUZ - RIO GALLEGOS;PDTE. DR. NESTOR KIRCHNER 893;I2842STM001;10.240.66.170;;
I2842;Z;Impresora;TELEG SANTA CRUZ - RIO GALLEGOS;PDTE. DR. NESTOR KIRCHNER 893;No aplica;10.240.66.172;;
I2845;Z;Server;TELEG SANTA CRUZ - RIO TURBIO;AV DE LOS MINEROS 494;Z9407ZAAU0070;10.240.72.170;;
I2845;Z;Impresora;TELEG SANTA CRUZ - RIO TURBIO;AV DE LOS MINEROS 494;No aplica;10.240.72.171;;
I2853;Z;Server;TELEG SANTA CRUZ - CALAFATE;AV DEL LIB G SAN MARTIN 201;I2853STM001;10.240.70.170;;
I2853;Z;Impresora;TELEG SANTA CRUZ - CALAFATE;AV DEL LIB G SAN MARTIN 201;No aplica;10.240.70.171;;
I2854;S;Server;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;I2854STM001;10.170.66.170;;
I2854;S;Cliente;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;S2000ZAIU0002;10.170.66.171;;
