NIS;Provincia;Tipo;Departamento;Dirección;Nombre normalizado;IPv4;Anotaciones;
I2854;S;Cliente;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;S2000ZAIU0004;10.170.66.173;;
I2854;S;Cliente;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;S2000ZAIU0016;10.170.66.175;;
I2854;S;Cliente;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;S2000ZAIU0007;10.170.66.177;;
I2854;S;Cliente;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;S2000ZAIU0008;10.170.66.178;;
I2854;S;Cliente;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;S2000ZAIU0009;10.170.66.179;;
I2854;S;Impresora;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;No aplica;10.170.66.133;;
I2854;S;Impresora;TELEG SANTA FE - ROSARIO;CÓRDOBA 721;No aplica;10.170.66.181;;
I2863;S;Server;TELEG ROSARIO - CDD 2;JUAN JOSE PASO 1502;I2863STM001;10.170.78.170;;
I2863;S;Impresora;TELEG ROSARIO - CDD 2;JUAN JOSE PASO 1502;No aplica;10.170.78.171;Sin conexión;
I2864;S;Server;TELEG ROSARIO - CDD 3;AYACUCHO BATALLA DE 5516;I2864STM001;10.170.79.170;;
I2864;S;Impresora;TELEG ROSARIO - CDD 3;AYACUCHO BATALLA DE 5516;No aplica;10.170.79.198;;
I2870;S;Server;TELEG CDD 4 Rosario SF;PENDIENTE DE MUDANZA - DESVIÓ TELEGRAFICO AL CDD5 ;I2870STM001;10.170.81.170;No responde por WebTeleg y no figura en inventario. Ref: IM0231677. Debido a la mudanza de CDD 4 Rosario hacia CDD 5 Rosario y por falta de espacio para colocar la terminal de telegrafía, fue necesario darla de baja.;
I2871;S;Server;TELEG ROSARIO - CDD 5;MENDOZA 5011;I2871STM001;10.170.84.170;;
I2871;S;Impresora;TELEG ROSARIO - CDD 5;MENDOZA 5011;No aplica;10.170.84.180;;
I2884;S;Server;TELEG SANTA FE - VILLA GOBERNADOR GALVEZ;AV FILIPPINI 1972;I2884STM001;10.170.71.170;;
I2884;S;Impresora;TELEG SANTA FE - VILLA GOBERNADOR GALVEZ;AV FILIPPINI 1972;No aplica;10.170.71.171;;
I2885;S;Server;TELEG SANTA FE - ARROYO SECO;MANSUETO MAIORANO 530;I2885STM001;10.170.72.170;;
I2885;S;Impresora;TELEG SANTA FE - ARROYO SECO;MANSUETO MAIORANO 530;No aplica;10.170.72.171;;
I2889;S;Server;TELEG SANTA FE - CAŃADA DE GOMEZ;DOMINGO SARMIENTO 96;I2889STM001;10.170.67.170;;
I2889;S;Impresora;TELEG SANTA FE - CAŃADA DE GOMEZ;DOMINGO SARMIENTO 96;No aplica;10.170.67.180;;
I2895;S;Server;TELEG SANTA FE - GRANADERO BAIGORRIA;CORRIENTES 1090;I2895STM001;10.170.70.170;;
I2895;S;Impresora;TELEG SANTA FE - GRANADERO BAIGORRIA;CORRIENTES 1090;No aplica;10.170.70.180;;
I2898;S;Server;TELEG SANTA FE - CASILDA;DR LISANDRO DE LA TORRE 2379;I2898STM001;10.170.68.170;;
I2898;S;Impresora;TELEG SANTA FE - CASILDA;DR LISANDRO DE LA TORRE 2379;No aplica;10.170.68.171;Sin conexión;
I2906;S;Server;TELEG SANTA FE - SAN LORENZO;AV GRAL SAN MARTIN 1202;I2906STM001;10.170.85.170;;
I2919;S;Server;TELEG SANTA FE - GALVEZ;MANUEL BELGRANO 735;I2919STM001;10.171.74.170;;
I2919;S;Impresora;TELEG SANTA FE - GALVEZ;MANUEL BELGRANO 735;No aplica;10.171.74.171;;
I2924;S;Server;TELEG SANTA FE - RAFAELA;GRAL ALVEAR 58;I2924STM001;10.170.95.170;;
I2924;S;Impresora;TELEG SANTA FE - RAFAELA;GRAL ALVEAR 58;No aplica;10.170.95.171;;
I2924;S;Impresora;TELEG SANTA FE - RAFAELA;GRAL ALVEAR 58;No aplica;10.170.95.181;;
I2932;S;Server;TELEG SANTA FE - SUNCHALES;AV MANUEL BELGRANO 192;I2932STM001;10.170.97.170;;
I2932;S;Impresora;TELEG SANTA FE - SUNCHALES;AV MANUEL BELGRANO 192;No aplica;10.170.97.180;;
I2934;S;Server;TELEG SANTA FE - CERES;L N ALEM 146;I2934STM001;10.171.72.170;;
I2934;S;Impresora;TELEG SANTA FE - CERES;L N ALEM 146;No aplica;10.171.72.171;;
I2961;S;Server;TELEG SANTA FE - VENADO TUERTO;SAAVEDRA 497;I2961STM001;10.170.99.170;;
I2961;S;Impresora;TELEG SANTA FE - VENADO TUERTO;SAAVEDRA 497;No aplica;10.170.99.25;;
I2972;S;Server;TELEG SANTA FE - FIRMAT;AV B RIVADAVIA 1235;I2972STM001;10.170.73.170;;
I2972;S;Impresora;TELEG SANTA FE - FIRMAT;AV B RIVADAVIA 1235;No aplica;10.170.73.171;;
I2985;S;Server;TELEG SANTA FE - VILLA CONSTITUCION;GRAL SAN MARTIN 802;I2985STM001;10.170.69.170;;
I2985;S;Impresora;TELEG SANTA FE - VILLA CONSTITUCION;GRAL SAN MARTIN 802;No aplica;10.170.69.175;;
I2988;S;Server;TELEG SANTA FE;MENDOZA 2430;I2988STM001;10.171.66.170;;
I2988;S;Cliente;TELEG SANTA FE;MENDOZA 2430;I2988STM002;10.171.66.171;;
I2988;S;Cliente;TELEG SANTA FE;MENDOZA 2430;I2988STM003;10.171.66.173;;
I2988;S;Cliente;TELEG SANTA FE;MENDOZA 2430;I2988STM004;10.171.66.172;;
I2988;S;Cliente;TELEG SANTA FE;MENDOZA 2430;I2988STM005;10.171.66.181;;
I2988;S;Impresora;TELEG SANTA FE;MENDOZA 2430;No aplica;10.171.66.176;;
I2997;S;Server;TELEG SANTA FE - CDD 3;GENERAL GREGORIO DE LAMADRID 7699;I2997STM001;10.171.67.170;;
I2997;S;Impresora;TELEG SANTA FE - CDD 3;GENERAL GREGORIO DE LAMADRID 7699;No aplica;10.171.67.174;;
I3007;S;Server;TELEG SANTA FE - SANTO TOME;AV EJERCITO ARGENTINO 3130;I3007STM001;10.171.87.170;;
I3007;S;Impresora;TELEG SANTA FE - SANTO TOME;AV EJERCITO ARGENTINO 3130;No aplica;10.171.87.171;;
I3032;S;Server;TELEG SANTA FE - ESPERANZA;GRAL SAN MARTIN 1231;I3032STM001;10.171.70.170;;
I3032;S;Impresora;TELEG SANTA FE - ESPERANZA;GRAL SAN MARTIN 1231;No aplica;10.171.70.180;;
I3037;S;Server;TELEG SANTA FE - RECONQUISTA;9 DE JULIO 745;I3037STM001;10.170.96.170;;
I3037;S;Impresora;TELEG SANTA FE - RECONQUISTA;9 DE JULIO 745;No aplica;10.170.96.171;;
I3044;S;Server;TELEG SANTA FE - RUFINO;CENTENARIO 298;S6100ZAAU0001;10.170.98.170;;
I3044;S;Impresora;TELEG SANTA FE - RUFINO;CENTENARIO 298;No aplica;10.170.98.171;;
I3068;G;Server;TELEG SANTIAGO DEL ESTERO - AŃATUYA;AV GRAL M BELGRANO 19;I3068STM001;10.70.70.170;;
I3068;G;Impresora;TELEG SANTIAGO DEL ESTERO - AŃATUYA;AV GRAL M BELGRANO 19;No aplica;10.70.70.171;;
I3070;G;Server;TELEG SANTIAGO DEL ESTERO;BUENOS AIRES 252;I3070STM001;10.70.66.170;;
I3070;G;Cliente;TELEG SANTIAGO DEL ESTERO;BUENOS AIRES 252;I3070STM002;10.70.66.172;;
I3070;G;Impresora;TELEG SANTIAGO DEL ESTERO;BUENOS AIRES 252;No aplica;10.70.66.171;;
I3074;G;Server;TELEG SANTIAGO DEL ESTERO - TERMAS DE RIO HONDO;AV JUAN B ALBERDI 766;I3074STM001;10.70.69.170;;
I3074;G;Impresora;TELEG SANTIAGO DEL ESTERO - TERMAS DE RIO HONDO;AV JUAN B ALBERDI 766;No aplica;10.70.69.180;;
I3080;G;Server;TELEG SGO DEL ESTERO - LA BANDA;BELGRANO MANUEL 261;I3080STM001;10.70.67.170;;
I3080;G;Impresora;TELEG SGO DEL ESTERO - LA BANDA;BELGRANO MANUEL 261;No aplica;10.70.67.171;;
I3106;V;Server;TELEG USHUAIA TFAIAS;AV GRAL SAN MARTIN 309;I3106STM001;10.200.66.170;;
I3106;V;Impresora;TELEG USHUAIA TFAIAS;AV GRAL SAN MARTIN 309;No aplica;10.200.66.171;;
I3109;V;Server;TELEG RIO GRANDE - TFAIAS;B RIVADAVIA 968;I3109STM001;10.200.67.170;;
I3109;V;Impresora;TELEG RIO GRANDE - TFAIAS;B RIVADAVIA 968;No aplica;10.200.67.171;;
I3130;T;Server;TELEG TUCUMAN - CONCEPCION;AVELLANEDA 305;I3130STM001;10.180.68.170;;
I3130;T;Impresora;TELEG TUCUMAN - CONCEPCION;AVELLANEDA 305;No aplica;10.180.68.20;;
I3157;X;Server;TELEG CORDOBA - CDD 4;CASTILLA 2719;I3157STM001;10.220.85.170;;
I3158;X;Server;TELEG CORDOBA CDD 5;ABEL CHANETON 12;I3158STM001;10.220.82.170;;
I3158;X;Impresora;TELEG CORDOBA CDD 5;ABEL CHANETON 12;No aplica;10.220.82.171;;
I3159;X;Server;TELEG CORDOBA - CDD 6;AV FUERZA AEREA ARG 2921;I3159STM001;10.220.67.170;;
I3159;X;Impresora;TELEG CORDOBA - CDD 6;AV FUERZA AEREA ARG 2921;No aplica;10.220.67.171;;
I3160;X;Server;TELEG CORDOBA - CDD 7;AV COLON 2445;I3160STM001;10.220.87.170;;
I3160;X;Impresora;TELEG CORDOBA - CDD 7;AV COLON 2445;No aplica;10.220.87.171;;
I3162;X;Server;TELEG CORDOBA - CDD 9;EMILIO PETTORUTI 2351;I3162STM001;10.220.89.170;;
I3162;X;Impresora;TELEG CORDOBA - CDD 9;EMILIO PETTORUTI 2351;No aplica;10.220.89.171;;
I3163;B;Server;TELEG BS AS - PUNTA ALTA;AVELLANEDA 602;I3163STM001;10.26.16.170;;
I3163;B;Impresora;TELEG BS AS - PUNTA ALTA;AVELLANEDA 602;No aplica;10.26.16.171;Sin conexión;
I3164;B;Server;TELEG BS AS - LOS POLVORINES;COMODORO RIVADAVIA 2645;B1613AVKU0001;10.245.101.170;;
I3724;C;Server;TELEG COORDINACION DE SERVICIOS;Desconocido;Desconocido;Desconocido;No responde por WebTeleg, no figura en inventario ni existen tickets.  - Consultar con NOYA;
I3890;X;Server;TELEG CORDOBA 1;AV COLON 210;I3890STM001;10.220.66.174;;
I3890;X;Cliente;TELEG CORDOBA 1;AV COLON 210;X5000ZANU0002;10.220.66.171;;
I3890;X;Cliente;TELEG CORDOBA 1;AV COLON 210;X5000ZANU0004;10.220.66.173;;
I3890;X;Cliente;TELEG CORDOBA 1;AV COLON 210;X5000ZANU0006;10.220.66.175;;
I3890;X;Cliente;TELEG CORDOBA 1;AV COLON 210;X5000ZANU0007;10.220.66.176;;
I3890;X;Impresora;TELEG CORDOBA 1;AV COLON 210;No aplica;10.220.66.178;;
I3890;X;Impresora;TELEG CORDOBA 1;AV COLON 210;No aplica;10.220.66.180;;
I3916;S;Server;TELEG SANTA FE - ROSARIO 1;CÓRDOBA 721;I3916STM001;10.170.66.176;;
I3916;S;Impresora;TELEG SANTA FE - ROSARIO 1;CÓRDOBA 721;No aplica;10.170.66.181;;
I5135;S;Server;TELEG SANTA FE - CDD;MENDOZA 2430;I5135STM001;10.171.66.174;;
I5135;S;Impresora;TELEG SANTA FE - CDD;MENDOZA 2430;No aplica;10.171.66.159;;
I5270;C;Server;TELEG AYUDA 1;AV. ANTARTIDA ARGENTINA 1100;C1000ZAAU0417;10.30.136.74;;
I5270;C;Impresora;TELEG AYUDA 1;AV. ANTARTIDA ARGENTINA 1100;No aplica;10.30.136.207;;
I5586;C;Server;TELEG SALON COMERCIAL CASA CENTRAL CF;TTE GRAL JUAN D PERON 321;I5586STM001;10.30.150.40;;
I5586;C;Impresora;TELEG SALON COMERCIAL CASA CENTRAL CF;TTE GRAL JUAN D PERON 321;No aplica;10.30.150.31;;
I5623;C;Server;TELEG BAIRESTF 1 CF;AV. SAN JUAN 1349;C1000ZAAU0441;10.30.136.221;;
I5623;C;Impresora;TELEG BAIRESTF 1 CF;AV. SAN JUAN 1349;No aplica;10.30.136.237;;
I5637;J;Server;TELEG SAN JUAN - CDD;AV JOSE I DE LA ROZA 259;I5637STM001;10.90.66.173;;
I5637;J;Impresora;TELEG SAN JUAN - CDD;AV JOSE I DE LA ROZA 259;No aplica;10.90.66.171;;
I5664;D;Server;TELEG CDD - SAN LUIS;SAN MARTIN 801;I5664STM001;10.40.66.171;;
I5664;D;Impresora;TELEG CDD - SAN LUIS;SAN MARTIN 801;No aplica;10.40.66.172;;
I5664;D;Impresora;TELEG CDD - SAN LUIS;SAN MARTIN 801;No aplica;10.40.66.173;;
I5711;T;Server;TELEG CTT - TUCUMAN;PROVINCIA DE CORDOBA 540;T4000ZAAU0069;10.180.66.170;;
I5711;T;Cliente;TELEG CTT - TUCUMAN;PROVINCIA DE CORDOBA 540;I5711STM002;10.180.66.171;;
I5711;T;Cliente;TELEG CTT - TUCUMAN;PROVINCIA DE CORDOBA 540;I5711STM003;10.180.66.87;;
I5711;T;Cliente;TELEG CTT - TUCUMAN;PROVINCIA DE CORDOBA 540;I5711STM004;10.180.66.140;;
I5711;T;Cliente;TELEG CTT - TUCUMAN;PROVINCIA DE CORDOBA 540;I5711STM005; 10.180.66.172;;
I5711;T;Impresora;TELEG CTT - TUCUMAN;PROVINCIA DE CORDOBA 540;No aplica;10.180.66.16;;
I5712;T;Server;TELEG TUCUMAN - CDD SAN MIGUEL DE TUCUMAN;Asuncion 955;I5712STM001;10.180.67.170;;
I5712;T;Impresora;TELEG TUCUMAN - CDD SAN MIGUEL DE TUCUMAN;Asuncion 955;No aplica;10.180.67.153;;
I5788;B;Server;TELEG BS AS - BERNAL CDD;AV LOS QUILMES 1938;B1876ZAAU0001;10.245.130.170;;
I5788;B;Impresora;TELEG BS AS - BERNAL CDD;AV LOS QUILMES 1938;No aplica;10.245.130.171;;
I5860;K;Server;TELEG CATAMARCA CDD;SAN MARTIN 761;I5860STM001;10.100.66.172;;
I5868;F;Server;TELEG CDD - LA RIOJA;AV PTE PERON 258;I5868STM001;10.60.66.170;;
I5878;B;Server;TELEG SISTEMA DE GIROS Y TRANSFERENCIA CF;AV FAIR 1101;B1842ZACS0227;10.1.12.248;;
I5924;B;Server;TELEG LA PLATA - CDD 4;CALLE 520 1422;I5924STM001;10.20.80.170;;
I5924;B;Impresora;TELEG LA PLATA - CDD 4;CALLE 520 1422;No aplica;10.20.80.171;;
I5926;C;Server;TELEG CF - CDD 5;ANTONIO MACHADO 649;I5926STM001;10.30.92.170;;
I5926;C;Impresora;TELEG CF - CDD 5;ANTONIO MACHADO 649;No aplica;10.30.92.171;;
I5928;C;Server;TELEG CF - CDD 34;SANTIAGO DEL ESTERO 1167;I5928STM001;10.30.136.204;;
I5936;B;Server;TELEG CDD - SAN VICENTE;9 DE JULIO 39;I5936STM001;10.26.74.170;;
I5936;B;Impresora;TELEG CDD - SAN VICENTE;9 DE JULIO 39;No aplica;10.26.74.171;;
I5997;C;Server;TELEG CALL CENTER GIROS;AV SAN JUAN 1349;I5997STM001;10.30.136.203;;
I6007;Q;Server;TELEG NEUQUEN V;SANTA FE 101;I6007STM001;10.150.66.173;;
I6009;X;Server;TELEG CORDOBA2 CBA;AV JUAN B JUSTO 3948;X5000ZAAU0201;10.220.66.160;;
I6009;X;Cliente;TELEG CORDOBA2 CBA;AV JUAN B JUSTO 3948;X5000ZAAU0202;10.220.66.161;;
I6009;X;Cliente;TELEG CORDOBA2 CBA;AV JUAN B JUSTO 3948;X5000ZAAU0203;10.220.66.162;;
I6009;X;Cliente;TELEG CORDOBA2 CBA;AV JUAN B JUSTO 3948;X5000ZAAU0205;10.220.66.18;;
I6009;X;Cliente;TELEG CORDOBA2 CBA;AV JUAN B JUSTO 3948;X5000ZANu0006;10.220.66.175;;
I6009;X;Impresora;TELEG CORDOBA2 CBA;AV JUAN B JUSTO 3948;No aplica;10.220.66.178;;
I6010;S;Server;TELEG SANTA FE - ROSARIO 2;CÓRDOBA 721;S2000ZAIU0008;10.170.66.178;;
I6028;C;Server;TELEG CF - CDD 17;HELGUERA 2901;C00172AAU0001;10.30.110.170;;
I6028;C;Impresora;TELEG CF - CDD 17;HELGUERA 2901;No aplica;10.30.110.171;;
I6029;C;Server;TELEG CF - CDD 27;VIRREY ARREDONDO 2959;I6029STM001;10.30.71.170;;
I6042;M;Server;TELEG MENDOZA 2;RODRIGUEZ PEŃA 3167;I6042STM001;10.120.66.174;;
I6088;C;Server;TELEG CF - SIT 4;AV SAN JUAN 1349;C1148ZABW0204;10.30.136.97;;
I6090;U;Server;TELEG COMODORO RIVADAVIA CTT CHT;SAN MARTIN 180;I6090STM001;10.190.66.171;;
I6091;B;Server;TELEG BS AS - MAR DEL PLATA CDD 3;GRAL M ACHA 350;I6091STM001;10.22.71.170;;
I6199;X;Server;TELEG CORDOBA - CDD 10;AV RAFAEL NUŃEZ 6235;I6199STM001;10.220.77.170;;
I6199;X;Impresora;TELEG CORDOBA - CDD 10;AV RAFAEL NUŃEZ 6235;No aplica;10.220.77.171;;
I6206;B;Server;TELEG SAN PEDRO CDD BA;RAFAEL OBLIGADO 58;I6206STM001;10.26.31.160;;
I6206;B;Impresora;TELEG SAN PEDRO CDD BA;RAFAEL OBLIGADO 58;No aplica;10.26.31.109;;
I6224;M;Server;TELEG SAN JOSE DE GUAYMALLEN-CDD MZA;GRAL. JOSÉ DE SAN MARTÍN 678;I6224STM001;10.120.66.19;Oficina dada de baja;
I6225;B;Server;TELEG CDD VILLA BALLESTER BA;REPUBLICA 5367;I6225STM001;10.245.62.170;;
I6225;B;Impresora;TELEG CDD VILLA BALLESTER BA;REPUBLICA 5367;No aplica;10.245.62.171;;
I6250;Z;Server;TELEG RIO GALLEGOS-CDD SC;Desconocido;;;No existen tickets en SM, no figura en Web Teleg.;
I6254;M;Server;TELEG CDD RIVADAVIA - MENDOZA;ARISTOBULO DEL VALLE 189;I6254STM001;10.120.79.170;;
I6254;M;Impresora;TELEG CDD RIVADAVIA - MENDOZA;ARISTOBULO DEL VALLE 189;No aplica;10.120.79.171;;
I6257;B;Server;TELEG LA PLATA CDD5;CALLE 73 919;I6257STM001;10.20.75.170;;
I6257;B;Impresora;TELEG LA PLATA CDD5;CALLE 73 919;No aplica;10.20.75.171;;
I6271;C;Server;TELEG CTT BAIRES SUPERVISION;AV SAN JUAN 1349;C1000ZAAU0515;10.30.136.6;;
I6271;C;Impresora;TELEG CTT BAIRES SUPERVISION;AV SAN JUAN 1349;No aplica;10.30.136.207;;
I6275;W;Server;TELEG - CTT CORRIENTES;SAN JUAN 1098;I6275STM001;10.210.66.171;;
I6275;W;Cliente;TELEG - CTT CORRIENTES;SAN JUAN 1098;I6275STM002;10.210.66.173;;
I6275;W;Cliente;TELEG - CTT CORRIENTES;SAN JUAN 1098;I6275STM004;10.210.66.15;;
I6275;W;Impresora;TELEG - CTT CORRIENTES;SAN JUAN 1098;No aplica;10.210.66.172;;
I6284;Q;Server;TELEG RINCON DE LOS SAUCES - CDD;AV GRAL E MOSCONI 168;I6284STM001;10.150.70.23;;
I6284;Q;Impresora;TELEG RINCON DE LOS SAUCES - CDD;AV GRAL E MOSCONI 168;No aplica;10.150.70.22;;
I6289;H;Server;TELEG BARRANQUERAS CDD;EVA PERON 340;H3503IRLU0001;10.80.69.170;;
I6289;H;Impresora;TELEG BARRANQUERAS CDD;EVA PERON 340;No aplica;10.80.69.171;;
I6290;M;Server;TELEG RODEO DE LA CRUZ CDD;AV BANDERA DE LOS ANDES 10523;M5525ZAAU0001;10.120.80.170;;
I6290;M;Impresora;TELEG RODEO DE LA CRUZ CDD;AV BANDERA DE LOS ANDES 10523;No aplica;10.120.80.90;;
I6298;B;Server;TELEG CDD MASCHWITZ BA;LA PLATA 1125;B1623ANQU0001;10.26.30.170;;
I6298;B;Impresora;TELEG CDD MASCHWITZ BA;LA PLATA 1125;No aplica;10.26.30.171;;
I6359;M;Server;TELEG CTT MENDOZA MZA;AV GRAL SAN MARTIN 678;M5500ZALU0005;10.120.66.175;;
I6359;M;Cliente;TELEG CTT MENDOZA MZA;AV GRAL SAN MARTIN 678;M5500ZALU0002;10.120.66.171;;
I6359;M;Cliente;TELEG CTT MENDOZA MZA;AV GRAL SAN MARTIN 678;M5500ZALu0004;10.120.66.174;;
I6359;M;Cliente;TELEG CTT MENDOZA MZA;AV GRAL SAN MARTIN 678;M5500ZALu0006;10.120.66.176;Sin conexión;
I6372;B;Server;TELEG CDD CAŃUELAS BA;9 DE JULIO 642;B1814ZABU0001;10.26.18.170;;
I6405;B;Server;TELEG Bs As – CDD QUILMES OESTE;YRIGOYEN HIPOLITO 405;I6405STM001;10.20.77.170;;
I6447;S;Server;TELEG ROSARIO V SF;CORDOBA 721;I6447STM001;10.170.66.202;;
I6447;S;Impresora;TELEG ROSARIO V SF;CORDOBA 721;No aplica;10.170.66.20;;
I6900;C;Server;TELEG TELEFONOGRAMAS;AV SAN JUAN 1349;Sin nombre;10.1.12.223;;
I7147;B;Server;TELEG BS AS - MORENO-COM;AV BME MITRE 2402;I7147STM001;10.245.110.170;;
I9801;B;Server;TELEG Baires-A CF;AV. FAIR 1101;No aplica;10.1.122.24;;
I9982;C;Server;TELEG BAIRESI2-TELECOMSPA;AV. SAN JUAN 1349;C1148ZABW0224;10.30.136.188;Se intenta acceder mediante Kitty, pero la conexión es rechazada;
Total;;286;;;;;;
