name,category,icon,tone
Aforadora- Consulta,Hardware,chip,bg-sky-300
Bibloteca Normativas- Consulta de acceso,Aplicaciones,puzzle,bg-violet-300
Boca de red- Instalacion,Instalaciones,spanner,bg-orange-300
Boca de red- Reparacion,Instalaciones,spanner,bg-orange-300
Boca de red- Habilitacion,Instalaciones,spanner,bg-orange-300
CallCenter Giros- Error al conectarse a la base de datos,Aplicaciones,puzzle,bg-violet-300
CallCenter Giros- Instalacion,Aplicaciones,puzzle,bg-violet-300
CallCenterScan- Consulta de acceso,Aplicaciones,puzzle,bg-violet-300
CallCenterScan- Consulta de uso,Aplicaciones,puzzle,bg-violet-300
CallCenterScan- No hay escáner configurado,Aplicaciones,puzzle,bg-violet-300
CallCenterScan- No se visualiza la imagen,Aplicaciones,puzzle,bg-violet-300
Canal Directo- Solicitud de Técnico,Externos,arrow-out-up-right-square,bg-pink-300
Canal Directo - Solicitud de Toner,Externos,arrow-out-up-right-square,bg-pink-300
Celular- Configuracion,Hardware,chip,bg-sky-300
Celular- No enciende,Hardware,chip,bg-sky-300
Celular- Pantalla dañada,Hardware,chip,bg-sky-300
Celular- Provision,Hardware,chip,bg-sky-300
Celular- Sin señal,Hardware,chip,bg-sky-300
Cierre- SUC (Nombre del Sitio/NIS),Otros,frame,bg-neutral-300
Cierre- CDD (Nombre de Sitio/Depto),Otros,frame,bg-neutral-300
Colector de datos- Archivos faltantes,Hardware,chip,bg-sky-300
Colector de datos- Bateria en mal funcionamiento,Hardware,chip,bg-sky-300
Colector de datos- Error conectando,Hardware,chip,bg-sky-300
Colector de datos- Error de java,Hardware,chip,bg-sky-300
Colector de datos- Falla en teclado,Hardware,chip,bg-sky-300
Colector de datos- No Enciende,Hardware,chip,bg-sky-300
Colector de datos- No escanea,Hardware,chip,bg-sky-300
Colector de datos- No reconoce usuario,Hardware,chip,bg-sky-300
Colector de datos- Pines dañados,Hardware,chip,bg-sky-300
Colector de datos- Se apaga,Hardware,chip,bg-sky-300
Colector de datos- Se tilda,Hardware,chip,bg-sky-300
Comunidad Correo- Consulta,Aplicaciones,puzzle,bg-violet-300
Comunidad Correo- WEB QR,Aplicaciones,puzzle,bg-violet-300
Craddle- Cable dañado,Hardware,chip,bg-sky-300
Craddle- No carga baterías,Hardware,chip,bg-sky-300
Craddle- No enciende,Hardware,chip,bg-sky-300
Craddle- Pines dañados,Hardware,chip,bg-sky-300
Denarius- Consulta de acceso,Aplicaciones,puzzle,bg-violet-300
Denarius- Instalación,Aplicaciones,puzzle,bg-violet-300
Denarius- Modificación,Aplicaciones,puzzle,bg-violet-300
Digidoc- Error de escaneo,Aplicaciones,puzzle,bg-violet-300
Digidoc- GPG error al descargar claves del servidor,Aplicaciones,puzzle,bg-violet-300
Digidoc- GPG Faltan archivos de comando,Aplicaciones,puzzle,bg-violet-300
Digidoc- Grupo de usuario no habilitado,Aplicaciones,puzzle,bg-violet-300
Digidoc- Instalacion,Aplicaciones,puzzle,bg-violet-300
EI- Consulta de pieza,Aplicaciones,puzzle,bg-violet-300
EI- No impacta declaración jurada,Aplicaciones,puzzle,bg-violet-300
EI- Plazo de guarda,Aplicaciones,puzzle,bg-violet-300
EI- Solicitud de Query,Aplicaciones,puzzle,bg-violet-300
Endpoint Security- Activacion de Eset,Aplicaciones,puzzle,bg-violet-300
Endpoint Security- Consulta,Aplicaciones,puzzle,bg-violet-300
Endpoint Security- Error en Actualizacion de Modulos,Aplicaciones,puzzle,bg-violet-300
Endpoint Security- URL bloqueada,Aplicaciones,puzzle,bg-violet-300
Enlace- Analisis de RED,Conectividad,wifi,bg-green-300
Enlace- Acceso a RED WIFI,Conectividad,wifi,bg-green-300
Enlace- Analisis de RED WIFI,Conectividad,wifi,bg-green-300
Enlace- Caida de vinculo,Conectividad,wifi,bg-green-300
Enlace- Direccionamiento IP,Conectividad,wifi,bg-green-300
Enlace- Cableado estructurado,Conectividad,wifi,bg-green-300
Enlace- Instalacion de Periscopio,Conectividad,wifi,bg-green-300
Enlace- Instalacion de Boca de RED,Conectividad,wifi,bg-green-300
Enlace- Lentitud,Conectividad,wifi,bg-green-300
Enlace- Microcortes,Conectividad,wifi,bg-green-300
Enlace- Puerto bloqueado,Conectividad,wifi,bg-green-300
Enlace- Registro DNS,Conectividad,wifi,bg-green-300
Enlace- Reserva de IP,Conectividad,wifi,bg-green-300
Enlace- Revision de Cableado,Conectividad,wifi,bg-green-300
Enlace- Revision de Periscopio,Conectividad,wifi,bg-green-300
Enlace- Revisión de Boca de RED,Conectividad,wifi,bg-green-300
Enlace- Solicitud de IP,Conectividad,wifi,bg-green-300
Equipo telefónico- Pieza desgastada,Hardware,chip,bg-sky-300
Falla en aire acondicionado,Otros,frame,bg-neutral-300
Falla en ventiladores,Otros,frame,bg-neutral-300
FAX- Atasca el papel,Hardware,chip,bg-sky-300
Fax- Falla en los cables,Hardware,chip,bg-sky-300
Fax- No enciende,Hardware,chip,bg-sky-300
Fax- No tomas las hojas,Hardware,chip,bg-sky-300
Filatelia- Error en proceso de facturación,Aplicaciones,puzzle,bg-violet-300
Fuente Tipografica- Instalación,Aplicaciones,puzzle,bg-violet-300
GYT- Consulta Operativa,Aplicaciones,puzzle,bg-violet-300
GYT- Entrada de datos sobrepaso el final del archivo,Aplicaciones,puzzle,bg-violet-300
GYT- A excedido la cantidad máxima de intentos,Aplicaciones,puzzle,bg-violet-300
GYT- Actualizacion de maestro de clientes,Aplicaciones,puzzle,bg-violet-300
GYT- Actualizacion de tablas,Aplicaciones,puzzle,bg-violet-300
GYT- Falla en la Conexion ODBC a ORACLE,Aplicaciones,puzzle,bg-violet-300
GYT- Falla reportes PDF,Aplicaciones,puzzle,bg-violet-300
GYT- No Responde,Aplicaciones,puzzle,bg-violet-300
GYT- Un error de comunicación ha ocurrido,Aplicaciones,puzzle,bg-violet-300
GYT- Error de Impresión,Aplicaciones,puzzle,bg-violet-300
HH- Configuración,Hardware,chip,bg-sky-300
HH- Consulta,Hardware,chip,bg-sky-300
HH- Equipo Dañado,Hardware,chip,bg-sky-300
HH- Problemas con el Craddle,Hardware,chip,bg-sky-300
HH- Extravío,Hardware,chip,bg-sky-300
HH- No cambio lockdown,Hardware,chip,bg-sky-300
HH- Pantalla rota,Hardware,chip,bg-sky-300
HH- Enrolamiento,Hardware,chip,bg-sky-300
HH- Problemas con OfficeTrack,Hardware,chip,bg-sky-300
HH- Problemas de señal,Hardware,chip,bg-sky-300
HH- Problemas de Loguin,Hardware,chip,bg-sky-300
HH- Demoras (ordenes despliegue/repliegue),Hardware,chip,bg-sky-300
HH- Robo,Hardware,chip,bg-sky-300
HOST- Eliminar trabajos en cola de impresión,Aplicaciones,puzzle,bg-violet-300
HOST- Redireccionamiento de impresiones,Aplicaciones,puzzle,bg-violet-300
HOST- Retorno a salto de línea,Aplicaciones,puzzle,bg-violet-300
Impacto de Tareas - Sincronización completa,Aplicaciones,puzzle,bg-violet-300
Impresora de label- Atasca el papel,Hardware,chip,bg-sky-300
Impresora de label- Configuración,Hardware,chip,bg-sky-300
Impresora de label- Imprime defasado,Hardware,chip,bg-sky-300
Impresora de label- Marca error,Hardware,chip,bg-sky-300
Impresora de label- No enciende,Hardware,chip,bg-sky-300
Impresora de ticket - No enciende,Hardware,chip,bg-sky-300
Impresora de ticket- Atasca papel,Hardware,chip,bg-sky-300
Impresora de ticket- Configuración,Hardware,chip,bg-sky-300
Impresora de ticket- Consulta,Hardware,chip,bg-sky-300
Impresora de ticket- Estado de error,Hardware,chip,bg-sky-300
Impresora de ticket- Falla en rodillos,Hardware,chip,bg-sky-300
Impresora de ticket- Imprime entre cortado,Hardware,chip,bg-sky-300
Impresora de ticket- No Imprime,Hardware,chip,bg-sky-300
Impresora de ticket- No toma las facturas,Hardware,chip,bg-sky-300
Impresora de ticket- Pedido de mantenimiento,Hardware,chip,bg-sky-300
Impresora de tickets- Cable USB dañado,Hardware,chip,bg-sky-300
Impresora Térmica- Configuracion,Hardware,chip,bg-sky-300
Impresora Térmica- Falla en cables,Hardware,chip,bg-sky-300
Impresora Térmica- Imprime entre cortado,Hardware,chip,bg-sky-300
Impresora Térmica- No enciende,Hardware,chip,bg-sky-300
Intranet- Consulta,Aplicaciones,puzzle,bg-violet-300
Intranet- Lentitud,Aplicaciones,puzzle,bg-violet-300
Intranet- Modificaciones,Aplicaciones,puzzle,bg-violet-300
Intranet- Publicación de documentos normativos,Aplicaciones,puzzle,bg-violet-300
Invgate- Consulta,Aplicaciones,puzzle,bg-violet-300
Invgate- Grupo Faltante,Aplicaciones,puzzle,bg-violet-300
IPS- Consulta sobre piezas,Aplicaciones,puzzle,bg-violet-300
IPS- Imprime entrecortado,Aplicaciones,puzzle,bg-violet-300
IPS- Instalacion,Aplicaciones,puzzle,bg-violet-300
IPS- No genera el formulario CN65,Aplicaciones,puzzle,bg-violet-300
Indra- Consulta,Electoral,buildings,bg-red-300
Relevamiento- Operativo Presentismo,Electoral,buildings,bg-red-300
Nombramiento Electoral- Consulta,Aplicaciones,puzzle,bg-violet-300
Electoral- WEB Operadores,Aplicaciones,puzzle,bg-violet-300
JAVA- Instalación de complementos,Aplicaciones,puzzle,bg-violet-300
Lapiz Optico- No enciende,Hardware,chip,bg-sky-300
Lapiz Optico- No lee las piezas,Hardware,chip,bg-sky-300
Láser- Consulta,Hardware,chip,bg-sky-300
Láser- Configuracion de escáner,Hardware,chip,bg-sky-300
Láser- Configuracion de impresora,Hardware,chip,bg-sky-300
Láser- Error de fusor,Hardware,chip,bg-sky-300
Láser- Error en visor,Hardware,chip,bg-sky-300
Láser- Mancha las hojas,Hardware,chip,bg-sky-300
Láser- Pedido de mantenimiento,Hardware,chip,bg-sky-300
Láser- Traba las hojas,Hardware,chip,bg-sky-300
Lector de huellas- Cable dañado,Hardware,chip,bg-sky-300
Lector de huellas- Configuracion,Hardware,chip,bg-sky-300
Lector de huellas- No enciende,Hardware,chip,bg-sky-300
Lector de huellas- No toma la huella,Hardware,chip,bg-sky-300
Lectoras MRZ- Cable dañado,Hardware,chip,bg-sky-300
Lectoras MRZ- No funciona el laser,Hardware,chip,bg-sky-300
Línea- Alta de línea,Conectividad,wifi,bg-green-300
Línea- Falta de Servicio,Conectividad,wifi,bg-green-300
Línea- Interno sin tono,Conectividad,wifi,bg-green-300
Línea- No puede realizar llamadas salientes externas,Conectividad,wifi,bg-green-300
Línea- Telefono analogico sin tono,Conectividad,wifi,bg-green-300
MFA-Configuracion doble factor,Aplicaciones,puzzle,bg-violet-300
MFA-Consulta operativa,Aplicaciones,puzzle,bg-violet-300
MFA-Excedió la cantidad máxima de intentos,Aplicaciones,puzzle,bg-violet-300
MFA-Reset QR,Aplicaciones,puzzle,bg-violet-300
MiCorreo- Consulta,Aplicaciones,puzzle,bg-violet-300
MiCorreo- Incidente con sellos digitales,Aplicaciones,puzzle,bg-violet-300
MiCorreo- Mensaje de Error,Aplicaciones,puzzle,bg-violet-300
MiCorreo- Problemas de Pagos,Aplicaciones,puzzle,bg-violet-300
MiCorreo- Problemas de Acceso,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Consulta,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Acceso buzón Genérico,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Configuracion de buzon,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Configuracion de firma,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Configuracion de idioma,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Error 500,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Falla al inicar sesion,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- No se pudo enviar el mensaje,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- No se pueden eliminar mails,Aplicaciones,puzzle,bg-violet-300
Microsoft Outlook- Redirige a Webmail,Aplicaciones,puzzle,bg-violet-300
MidPoint- Cambio de Mail Registrado,Aplicaciones,puzzle,bg-violet-300
MidPoint- Consulta,Aplicaciones,puzzle,bg-violet-300
MidPoint- Usuario Deshabilitado,Aplicaciones,puzzle,bg-violet-300
Monitor- Falla en cables,Hardware,chip,bg-sky-300
Monitor- No da imagen,Hardware,chip,bg-sky-300
Monitor- No enciende,Hardware,chip,bg-sky-300
Monitor- Se apaga solo,Hardware,chip,bg-sky-300
Mosaic- Actualización de tarifas,Aplicaciones,puzzle,bg-violet-300
Mosaic- Baja de operador,Aplicaciones,puzzle,bg-violet-300
Mosaic- Baja de servidor,Aplicaciones,puzzle,bg-violet-300
Mosaic- Consulta,Aplicaciones,puzzle,bg-violet-300
Mosaic- Caidas en vuelo (Operación no impacta en mosaic),Aplicaciones,puzzle,bg-violet-300
Mosaic- CDS_TIME_OUT,Aplicaciones,puzzle,bg-violet-300
Mosaic- Cheque inexistente,Aplicaciones,puzzle,bg-violet-300
Mosaic- Chequeo de servicios,Aplicaciones,puzzle,bg-violet-300
Mosaic- Cierre de tesoro,Aplicaciones,puzzle,bg-violet-300
Mosaic- Configuracion de unidad W,Aplicaciones,puzzle,bg-violet-300
Mosaic- Configuracion de unidad X,Aplicaciones,puzzle,bg-violet-300
Mosaic- Data dictionary open failed #353 Sucursal,Aplicaciones,puzzle,bg-violet-300
Mosaic- Data dictionary open failed #353 PC,Aplicaciones,puzzle,bg-violet-300
Mosaic- Diferencia contable,Aplicaciones,puzzle,bg-violet-300
Mosaic- El cheque no ha sido registrado,Aplicaciones,puzzle,bg-violet-300
Mosaic- El viejo proceso de Firefox se está ejecutando,Aplicaciones,puzzle,bg-violet-300
Mosaic- Eliminación de chequera,Aplicaciones,puzzle,bg-violet-300
Mosaic- Eliminacion de pieza,Aplicaciones,puzzle,bg-violet-300
Mosaic- Error 940 CDS Find,Aplicaciones,puzzle,bg-violet-300
Mosaic- Error al convertir TXT a PDF,Aplicaciones,puzzle,bg-violet-300
Mosaic- Error Cierre del Dia,Aplicaciones,puzzle,bg-violet-300
Mosaic- Error Runtime,Aplicaciones,puzzle,bg-violet-300
Mosaic- Falla de actualizacion de bobs,Aplicaciones,puzzle,bg-violet-300
Mosaic- Fallo de conexión al CD Server,Aplicaciones,puzzle,bg-violet-300
Mosaic- Fatal error #829,Aplicaciones,puzzle,bg-violet-300
Mosaic- Fatal error #857,Aplicaciones,puzzle,bg-violet-300
Mosaic- No se pudo almacenar la Huella Digital,Aplicaciones,puzzle,bg-violet-300
Mosaic- No se puede realizar la consulta,Aplicaciones,puzzle,bg-violet-300
Mosaic- Operaciones WEB,Aplicaciones,puzzle,bg-violet-300
Mosaic- Pieza existente en tabla de stock,Aplicaciones,puzzle,bg-violet-300
Mosaic- Pieza no corresponde al grupo,Aplicaciones,puzzle,bg-violet-300
Mosaic- Redireccionameinto de impresión,Aplicaciones,puzzle,bg-violet-300
Mosaic- Reimpresion de label,Aplicaciones,puzzle,bg-violet-300
Mosaic- Tranferencia de Usuario,Aplicaciones,puzzle,bg-violet-300
Mouse- Cable dañado,Hardware,chip,bg-sky-300
Mouse- No responde,Hardware,chip,bg-sky-300
Mouse- Pieza desgastada,Hardware,chip,bg-sky-300
MercadoPago- No impacta el pago del cliente,Aplicaciones,puzzle,bg-violet-300
MercadoPago- No sale el comprobante,Aplicaciones,puzzle,bg-violet-300
MercadoPago- Terminal no habilitada para el cobro,Aplicaciones,puzzle,bg-violet-300
MS Teams- Desbloqueo de Dominio,Aplicaciones,puzzle,bg-violet-300
Mudanza- CDD (Nombre de Sitio/Depto),Otros,frame,bg-neutral-300
Mudanza- Hardware,Otros,frame,bg-neutral-300
Mudanza- SUC (Nombre de Sitio/NIS),Otros,frame,bg-neutral-300
Netterm- Configuraciòn,Aplicaciones,puzzle,bg-violet-300
Netterm- Consulta de uso,Aplicaciones,puzzle,bg-violet-300
Netterm- Instalación,Aplicaciones,puzzle,bg-violet-300
Nettern- Error de conexión con el servidor,Aplicaciones,puzzle,bg-violet-300
Notebook- Código BitLocker,Hardware,chip,bg-sky-300
Notebook- Configuración Wifi,Hardware,chip,bg-sky-300
Notebook- Consulta,Hardware,chip,bg-sky-300
Notebook- Extravío,Hardware,chip,bg-sky-300
Notebook- Falla Bateria,Hardware,chip,bg-sky-300
Notebook- Falla Cargador,Hardware,chip,bg-sky-300
Notebook- Remasterizar,Hardware,chip,bg-sky-300
Notebook- Fuera de Dominio,Hardware,chip,bg-sky-300
Notebook- No enciende,Hardware,chip,bg-sky-300
Notebook- Robo,Hardware,chip,bg-sky-300
Notebook- Se reinicia,Hardware,chip,bg-sky-300
Notebook- Se tilda,Hardware,chip,bg-sky-300
